annee,region,zref,pcgapdeptotndpoor
2014,Hauts Bassins,153530,70546.10156
2014,Hauts Bassins,153530,70546.10156
2014,Hauts Bassins,153530,11331.01563
2014,Hauts Bassins,153530,11331.01563
2014,Hauts Bassins,153530,11331.01563
2014,Hauts Bassins,153530,11331.01563
2014,Hauts Bassins,153530,11331.01563
2014,Hauts Bassins,153530,11331.01563
2014,Hauts Bassins,153530,11331.01563
2014,Hauts Bassins,153530,11331.01563
2014,Hauts Bassins,153530,11331.01563
2014,Hauts Bassins,153530,11331.01563
2014,Hauts Bassins,153530,11331.01563
2014,Hauts Bassins,153530,11331.01563
2014,Hauts Bassins,153530,11331.01563
2014,Hauts Bassins,153530,11331.01563
2014,Hauts Bassins,153530,11331.01563
2014,Hauts Bassins,153530,3849.84375
2014,Hauts Bassins,153530,3849.84375
2014,Hauts Bassins,153530,3849.84375
2014,Hauts Bassins,153530,3849.84375
2014,Hauts Bassins,153530,58931.75
2014,Hauts Bassins,153530,58931.75
2014,Hauts Bassins,153530,58931.75
2014,Hauts Bassins,153530,58931.75
2014,Hauts Bassins,153530,58931.75
2014,Hauts Bassins,153530,58931.75
2014,Hauts Bassins,153530,58931.75
2014,Hauts Bassins,153530,58931.75
2014,Hauts Bassins,153530,58931.75
2014,Hauts Bassins,153530,58931.75
2014,Hauts Bassins,153530,58931.75
2014,Hauts Bassins,153530,11211.17188
2014,Hauts Bassins,153530,11211.17188
2014,Hauts Bassins,153530,11211.17188
2014,Hauts Bassins,153530,11211.17188
2014,Hauts Bassins,153530,11211.17188
2014,Hauts Bassins,153530,11211.17188
2014,Hauts Bassins,153530,11211.17188
2014,Hauts Bassins,153530,11211.17188
2014,Hauts Bassins,153530,11211.17188
2014,Hauts Bassins,153530,11211.17188
2014,Hauts Bassins,153530,11919.375
2014,Hauts Bassins,153530,11919.375
2014,Hauts Bassins,153530,11919.375
2014,Hauts Bassins,153530,11919.375
2014,Hauts Bassins,153530,11919.375
2014,Hauts Bassins,153530,11919.375
2014,Hauts Bassins,153530,5816.65625
2014,Hauts Bassins,153530,5816.65625
2014,Hauts Bassins,153530,5816.65625
2014,Hauts Bassins,153530,5816.65625
2014,Hauts Bassins,153530,5816.65625
2014,Hauts Bassins,153530,5816.65625
2014,Hauts Bassins,153530,5816.65625
2014,Hauts Bassins,153530,5816.65625
2014,Hauts Bassins,153530,49629.16406
2014,Hauts Bassins,153530,49629.16406
2014,Hauts Bassins,153530,49629.16406
2014,Hauts Bassins,153530,49629.16406
2014,Hauts Bassins,153530,49629.16406
2014,Hauts Bassins,153530,49629.16406
2014,Hauts Bassins,153530,49629.16406
2014,Hauts Bassins,153530,49629.16406
2014,Hauts Bassins,153530,69875
2014,Hauts Bassins,153530,69875
2014,Hauts Bassins,153530,69875
2014,Hauts Bassins,153530,69875
2014,Hauts Bassins,153530,69875
2014,Hauts Bassins,153530,69875
2014,Hauts Bassins,153530,69875
2014,Hauts Bassins,153530,69875
2014,Hauts Bassins,153530,69875
2014,Hauts Bassins,153530,14107.90625
2014,Hauts Bassins,153530,14107.90625
2014,Hauts Bassins,153530,14107.90625
2014,Hauts Bassins,153530,14107.90625
2014,Hauts Bassins,153530,9021.9375
